Title,Clean_JobDescripton
Project Manager,The UNDP and the Ministry of Health seekprofessionals for the project HIVAIDS and Uniformed Services
Project Manager,The Foundation Internews Georgia is seeking aqualified candidate for the full time position of Project Manager
Project Manager,Project Manager is mainly a project managementadministration position The person follows up progress of the teamsin various projects and does planning together with the architect Thisrole requires problemsolving attitude
Project Manager,International Society for Fair Elections and DemocracyISFED announces vacancy for the fulltime position of Project Manager
Java Developer,Creating and developing software products for Network
Java Developer,A leading American software development company isactively looking for Java developers for complex and longterm projectsThe position entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Project Manager,To achieve the objectives of the British Councils SEEurope Regional Plan and Armenia Country Plan through the planningimplementation and evaluation of projects mainly but not exclusivelyin Education  and Governance
Sales Manager,On behalf of its partner Ameria CJSC is seekingapplicants for the position of Sales Manager Sales Manager manages thecompanys sales and development functions provides highly responsibleand technically complex staff assistance to CEO The work performedrequires a high level of proficiency in marketing distribution andsales management as well as management supervisory and administrativeskills
Java Developer,A leading American software development company isactively looking for Java developers for complex and longterm projectsThe position entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Java Developer,A leading American software development company isactively looking for Java developers for complex and longterm projectsThe position entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Project Manager,The Project Manager will work for ArmeniaImprovingthe Energy Efficiency of Municiple Heating and Hot Water SupplyProjectUnder direct supervision of the National Project Coordinator theincumbent will ensure daily management of project ongoing activities
Project Manager,The Armenian branch of a USbased software company isseeking to fill the position of a Project Manager The responsibilitiesof this position are focused on assistance to the Senior Project Managerand Regional Representative in carrying out the monitoring and evaluationthe project implementation procedures
Sales Manager,We are looking for a dedicated responsible activeand enthusiastic personality for the position of Sales Manager
Project Manager,Synergy International Systems Inc is seeking to fillthe position of a Project Manager The responsibilities of this positionare focused on assistance to the Senior Project Manager and RegionalRepresentative in carrying out the monitoring and evaluation the projectimplementation procedures This position will be filled by an individualwith a proven history of project management This position will befilled by a candidate who has experience in all aspects of the softwaredevelopment process including design development implementation andtechnical support
Sales Manager,We are seeking a Sales Manager for a company involvedin sale of building material
Project Manager,The Armenian branch of a USbased software company isseeking to fill the position of a Project Manager The responsibilitiesof this position are focused on assistance to the Senior Project Managerand Regional Representative in carrying out the monitoring and evaluationthe project implementation procedures The selected candidate willsupervise personnel involved in the project development as well asmonitor the actual project design This will include ensuring theapplication development testing and review processes and that servicerequirements goals are met The Project Manager will schedule conductand document project review meetings meet established deadlines travelabroad to conduct needs assessments provide consulting services tocompanys clients organize training sessions for users of Synergys WebDatabase technology projects etc This position will be filled by anindividual with a proven history of project management Experience in adynamic workplace with solid project management practice is required Ideally this position will be filled by a candidate who has experiencein all aspects of the software development process including designdevelopment implementation and technical support
Java Developer,The responsibilities of this position are focused oncore software development tasks in Synergy International Systems IncThis position will be filled by a software developer with a provenhistory of producing quality software product in a commercial settingwith experience in all aspects of the software development processincluding design implementation testing and delivery
Sales Manager,The Sales Manager will deal with trade representativesand partners
Sales Manager,The incumbent will sell real estate in the territoryof Vahakni Community
Java Developer,We are looking for a Java Developer with strongknowledge of relationship database
Project Manager,Promo International is looking for highly qualifiedcandidates to fulfill the position of Project Manager
Java Developer,The responsibilities of this position are focused oncore software development tasks in Synergy International Systems IncThis position will be filled by a Software Developer with a provenhistory of producing quality software product in a commercial settingwith experience in all aspects of the software development processincluding design implementation testing and delivery
Sales Manager,Business Depot International Services LLC is lookingfor candidates to fulfill the position of Sales Manager
Java Developer,The responsibilities of this position are focused oncore software development tasks in Synergy International Systems IncSynergys main focus is on developing integrated stateoftheart WebDatabase and Web Portal systems for business intelligence knowledgemanagement and eGovernment solutions This position will be filled by asoftware developer with a proven history of producing quality softwareproduct in a commercial setting with experience in all aspects of thesoftware development process including design implementation testingand delivery
Java Developer,An American software development company is activelylooking for Java developers for complex and longterm projects Theposition entails working with Sun and IBM products portal solutionsthe latest Java technologies and Documentum products  the world leaderin EDMS solutions The projects will deal with large wellknowncustomers
Sales Manager,We are looking for a candidate to fulfill the positionof Sales Manager who will communicate with clients and organize wholesale process in the company office
Java Developer,Vested Development Inc is actively looking for Javadevelopers for complex and longterm projects The position entailsworking with Sun and IBM products portal solutions the latest Javatechnologies The projects will deal with large wellknown customers
Sales Manager,The incumbent will sell real estate in the territoryof Vahakni Community
Java Developer,Synergy International Systems IncArmenia seeks tofill the position of Java Developer The responsibilities of thisposition are focused on core software development tasks in SynergyInternational Systems Inc
Project Manager,ArmenTel is looking for candidates to fulfill theposition of Project Manager
Project Manager,The Armenian branch of a USbased software company isseeking candidates with a proven history of project management to fillthe position of a Project Manager The responsibilities of this positionare focused on assistance to the Senior Project Manager and RegionalRepresentative in carrying out the monitoring and evaluation the projectimplementation procedures The selected candidate will supervisepersonnel involved in the project development as well as monitor theactual project design
Project Manager,Cornerstone is looking for candidates to fill theposition of Project Manager
Java Developer,The responsibilities of this position are focused onsoftware development tasks related to the upcoming projects in SynergyInternational Systems Inc This position will be filled by a softwaredeveloper with a proven history of producing quality software product ina commercial setting with experience in all aspects of the softwaredevelopment process including design implementation testing anddelivery
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Project Manager,The primary objective of this position is to ensurethe highest possible efficiency level from the project team to thesuccessful completion of projects while maintaining compliance toprocess  The incumbent will act a liaison between business and theproject team and instill a passion for excellence on the team
Java Developer,Nairisoft Inc is looking for a highly qualifiedperson with deep knowledge and practical experience in Web programmingThe selected candidate will be involved in all stages of the developmentlife cycle
Sales Manager,Valletta LLC is announcing a position of Sales Managerand looking for a highly motivated and experienced person
Sales Manager,Yerevan Telecom Solutions seeks highly motivated andexperienced candidates to fill the longterm position of Sales Manager
Sales Manager,Kantis management is looking for Sales Manager whowill work with foreign organizations in the field of telecomunication
Sales Manager,Almeda CJSC is seeking a qualified person for theposition of Sales Manager to be responsible for sale of medicalproducts
Java Developer,SCDM LLC is looking for highly experienced Javadevelopers for a longterm project They will work as a member of a teambased on the guidelines and technical assistance of Austrian partners fordeveloping special software in financial analysis field The incumbentwill work in close collaboration with the Project Manager to understandthe application requirements and be able to validate that thedevelopment answers the business requirements
Java Developer,Lucipa Software is developing a new product and islooking for Java Developers to lead the application design efforts Thisincludes production of written design specifications and the definitionof development activities required to meet the business requirementsThe Java Developers are responsible for handson software developmentand ensuring the highest quality of all delivered solutions throughunit integrated and full system testing activities Efforts insoftware development will run from analysis through implementation
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Java Developer,The Virtual Solution Global Services LLC is seekingfor a motivated Java Developer for Web based applications development
Java Developer,Webb Fontaine Armenia is seeking for Java Developerfor the development of Javabased applications on proprietary platform
Java Developer,IOGenic is seeking a Java Developer who will workunder the direct supervision of IOGenics General Management
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Java Developer,Damaris AM Ltd is looking for a qualified JavaDeveloper to participate in Damaris products development
Sales Manager,New Age Travel LLC is looking for hard workinghighly motivated individuals who will skillfully represent the companyto the customers
Sales Manager,Raffael Contini one of the coffee manufacturers inArmenia is seeking a Sales Manager to be responsible for domestic salesof the companys produce
Java Developer,The Virtual Solution Global Services LLC is seekingfor a motivated Java Developer for Web based applications development
Java Developer,NairiSoft Inc is looking for a highly qualifiedperson with deep knowledge and practical experience in Java programmingThe selected candidate will be involved in all stages of the developmentlife cycle
Project Manager,The Virtual Solution Global Services LLC is seeking aProject Manager to manage Web based application projects
Java Developer,The Virtual Solution Global Services LLC is seeking amotivated Java Developer for Web based applications development
Java Developer,Boomerang Software LLC is looking for Java Developersto be engaged in different long term projects
Sales Manager,NatFood CJSC is announcing a position of Sales Managerand looking for a highly motivated and experienced professional
Project Manager,Damaris LLC is seeking a Project Manager to managecompanys projects
Java Developer,Energize Global Services CJSC is looking for JavaDevelopers to be engaged in different long term projects
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Sales Manager,Ivtrans LLC is looking for a Sales Manager toundertake the daytoday operation management of sales
Java Developer,The Virtual Solution Global Services LLC is seeking amotivated Java Developer for Web based applications development
Sales Manager,Prof Al LLC is looking for a qualified person tomanage all the activities of a new opening showroom in Yerevan todevelop implement and manage the companys marketing and salesstrategy
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Sales Manager,The Sales Manager works towards development of salesof ArArAt and PR imported products
Project Manager,The responsibilities of the position of a ProjectManager are focused on assistance to the Regional Representative incarrying out the monitoring and evaluation of the project implementationprocedures The PM establishes project plans schedules and assignsresources accordingly supervises personnel involved in the projectdevelopment as well as monitors the actual project design This includesensuring the application development testing and review processes andthat service requirements goals are met The Project Manager schedulesconducts and documents project review meetings meets establisheddeadlines travels abroad to conduct needs assessments providesconsulting services to companys clients organizes training sessionsfor users of Synergys IDM technology projects etc organizestrainings for internal teams as well as for the interns of theorganization
Sales Manager,ZangTelecom LLC Radionet is seeking for qualifiedSales Managers to be responsible for presentation and sales of theservices
Java Developer,Energize Global Services CJSC is looking for JavaDevelopers to be engaged in different long term projects
Java Developer,Essence Development LLC is seeking a highly motivatedJava Developer to develop and build high quality web applications Inthis role the developer will not only help building next generation webapplications but will also enhance and maintain existing JavaJ2EEapplications The developer will be working on a range of challengingprojects throughout the full development life cycle
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Sales Manager,Megamotors LLC is seeking a candidate for the positionof sales manager who will assume responsibility for showroom visitors andcustomers demonstrating excellent product knowledge appraisingdisplaying and merchandising the Mitsubishi vehicles
Project Manager,CHAP Project Manager is responsible for managing allaspects of the project planning and implementation including projectjustification and conceptualization humanitarian assistancedistribution monitoring and providing feedback information Under thedirection of HQ and the Country Director the incumbent in this positionwill also serve as the liaison and main contact person for thedevelopment of new business initiatives in support of growing revenuesfrom nonDOS funded sources This will involve up to 20 of hishertime The range of activities include but is not limited to identify newclients and partner organizations as well as recipients and their needswithin the project framework input information related to the projectinto CHAP MS Access Database CHAPBASE reports to the CHAPArmeniaCountry Program Director
Sales Manager,Master Class Tennis  Fitness Club is looking for amotivated and proactive candidate for the position of Sales Manager forits new opening fitness center
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Java Developer,NairiSoft Inc is looking for a highly qualifiedperson with deep knowledge and practical experience in Java programmingThe selected candidate will be involved in all stages of the developmentlife cycle
Project Manager,EPAM Systems is actively looking for Project Managerfor complex and longterm software development projects The projectswill deal with large and wellknown customers both in Europe and theUnited States
Sales Manager,Master Class Tennis  Fitness Club is looking for amotivated and proactive candidate for the position of Sales Manager
Sales Manager,ZangTelecom LLC RadioNet is seeking qualified SalesManagers to be responsible for presentation and sales of the services
Project Manager,The Project Manager will be responsible for the timelyand cost compliant delivery of a complex and extensive communicationsnetwork Heshe will have comprehensive authority to enable theaggressive management of this endeavor The position requires amotivated self starter with exceptional organizational skillssignificant PM and problem resolution experience
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions and the latest Java technologies
Sales Manager,The Sales Manager will be responsible for promotingInsurance products in the market
Sales Manager,The Sales Manager will build lead and develop ahighly motivated achievementoriented sales team and support indirectchannels capable of meeting or exceed demanding sales targets and profitmargin objectives
Java Developer,Boomerang Software LLC is looking for a Java Developerto be engaged in different long term projects
Sales Manager,CornetAm CJSC is looking for a motivated andwellorganized candidate for the position of Sales Manager for thecompanys sales office
Project Manager,The objective is to provide technical support to theProject Manager for implementation of pension reform  This projectincludes activities performed by several parts of the Government ofArmenia as well through a large systems development contract  Theproject manager is responsible for maintaining contact with all aspectsof implementation and in particular tracking meeting of benchmarks in atimely fashion   This position will provide technical support indeveloping and maintaining a Microsoft Project plan to facilitate theseactivities
Java Developer,Energize Global Services CJSC is looking for JavaDevelopers to be engaged in different long term projects
Sales Manager,Boomerang Software LLC is looking for committedindividuals to fill the position of Sales Manager The successfulcandidates will be expected to take responsibility for identifying newopportunities following up enquiries and converting proposals quotations into firm orders
Project Manager,Energize Global Services CJSC is looking for a ProjectManager to be engaged in different long term projects
Sales Manager,Asya Baghdasaryan PE is looking for dynamicpersons with strong communication presentation and negotiation skillsto work under the supervision of the Marketing Director
Sales Manager,Sales Manager is responsible for full aspects ofestablishment of cooperation with customers sales of products anddevelopment of relationships with potential and current customersHeshe is also responsible for presales and postsales relatedadministrative tasks
Sales Manager,Sales Manager is responsible for full aspects ofestablishment of cooperation with customers sales of products anddevelopment of relationships with potential and current customersHeshe is also responsible for presales and postsales relatedadministrative tasks
Java Developer,NairiSoft Inc Armenia is looking for a highlyqualified person with deep knowledge and practical experience in Javaprogramming The selected candidate will be involved in all stages ofthe development life cycle
Project Manager,The National Competitiveness Foundation of ArmeniaNCFA is seeking to hire a Program Project Manager to oversee andmanage the design and implementation of sectorspecific projects intourism healthcare and education as well as crosscutting projects ininfrastructure and capacity developmentThe ProgramProject Manager will be responsible for managing the designand implementation of the NCFA projects Depending on the level ofqualifications and the nature of the projects the candidate will reporteither to the directors of NCFAs sector teams such as the Director ofthe Tourism Office or directly to the Chief Executive Officer of theNCFA
Sales Manager,IUnetworks LLC is looking for a motivated individualto fill the position of Sales Manager The position  holder will assistclients in hardware and software tools selection create quotes for SUNPlanet and Erickson products followup purchase orders etc
Sales Manager,Kinetik CJSC Orange Fitness is looking for amotivated and proactive candidate for the position of Sales Manager
Project Manager,Redinet CJSC is looking for highly responsibleindividual to be directly involved in management of telecommunicationsphere related project processes and activities and be responsible forlarge scale projects or a significant segment of large and complexprojects
Project Manager,The Project Manager will be responsible for the timelyand cost compliant delivery of a complex and extensive communicationsnetwork Heshe will have comprehensive authority to enable theaggressive management of this endeavor The position requires amotivated self starter with exceptional organizational skillssignificant PM and problem resolution experience
Sales Manager,Natfood CJSC is announcing a position of SalesManager and is looking for a highly motivated and experiencedprofessional Sales Manager should develop implement and manage thecompanys sales strategy to ensure efforts to meet goals and objectiveswith direct reporting to the Chief Executive Officer
Sales Manager,Unitel LLC is seeking a highly motivated andprofessional Sales Manager
Sales Manager,Muran LLC is looking for a candidate to fulfill theposition of Sales Manager to sell vehicles and sign contracts with thecustomers
Project Manager,The role of the Project Manager is to plan executeand finalize projects according to strict deadlines and within budgetThis includes acquiring resources and coordinating the efforts of teammembers and thirdparty contractors or consultants in order to deliverprojects according to plan The Project Manager will also define theprojects objectives and oversee quality control throughout its lifecycle
Sales Manager,Cascade Telecom LLC is seeking motivated andcommercially orientated Sales Manager to work with companys corporatecustomers and partners
Project Manager,Under the overall authority of the Directorate Generalof Human Rights and Legal Affairs DGHL of the Council of Europe CoEand the Head of the Legal and Human Rights Capacity Building Divisionand daily supervision of the Head of the Council of Europe Office SRSGin Yerevan the Project Manager will be responsible for theimplementation of the Support for Access to Justice in Armenia Projectin Armenia
Project Manager,The Project Manager will be responsible for the timelyand cost compliant delivery of a complex and extensive communicationsnetwork She will have comprehensive authority to enable the aggressivemanagement of this endeavor The position requires a motivated selfstarter with exceptional organizational skills significant PM andproblem resolution experienceThe incumbent will be responsible for authorization and processingcreation and maintenance of all project critical documentationcorrespondence and reports and chairing of regularly scheduled projectmeetings
Sales Manager,Magic Sale LLC is seeking motivated and commerciallyoriented Sales Manager to attract new clients and organize current workwith the existing ones
Sales Manager,Ar  Ar Design Construction is looking for highlymotivated candidates for the position of Sales Manager for one ofcompanys 22C stores
Project Manager,World Vision Armenia is looking for a Project Managerwho will be responsible for overall management of the ECfunded projectReducing Violence against Children in Armenia The incumbent willprovide day to day management to achieve high quality results in linewith acceptable project norms which are relevant to the establishedgoals objectives and operating policies of the project and WV ArmeniaIn accordance with EC grant regulations the Project Manager willsupervise the financial management of the grant in relation to projectgoals and objectives yearly activity schedule timing of expendituresbudgets etc
Project Manager,Altacode LLC is looking for an experienced ProjectManager
Project Manager,Altacode LLC is looking for an experienced ProjectManager
Java Developer,AtTask Inc is looking for Java Developers withexperience in Perl to develop internal applications that support dailybusiness operations at Yerevan office
Sales Manager,Magic Sale LLC is seeking motivated and commerciallyorientated Sales Manager to attract new clients and organize currentwork with the existing ones
Project Manager,Project Management Unit PMU CJSC is looking for ahighly qualified Project Manager Under the supervision of ProjectManagement Unit Director the incumbent will create and execute projectwork plans and revise as appropriate to meet changing needs andrequirements
Sales Manager,Nushikyan Association LLC is seeking motivated andcommercially oriented Sales Manager to attract new clients and organizecurrent work with the existing ones
Project Manager,The role of the Project Manager is to plan executeand finalize projects according to strict deadlines and within budgetThis includes acquiring resources and coordinating the efforts ofstakeholders team members and thirdparty contractors or consultants inorder to deliver projects according to plan The Project Manager willalso define the projects objectives and oversee quality controlthroughout its life cycle
Sales Manager,Victoria Pasta is looking for a motivated andcommercially oriented Sales Manager to attract new clients and organizecurrent work with the existing ones
Project Manager,World Vision Armenia is seeking a Project Manager forWorld Visions proposal on Child Protection Systems Strengthening inArmenia World Vision is submitting a proposal to USAID for theDisplaced Children and Orphans Fund DCOF and anticipates decisionregarding funding in July 2010The Project Manager will have overall responsibility for the managementof all project activities and staff She will have principalresponsibility for representation of the project to the Donor The PMwill serve as representative of the project and will be responsible forthe activities and all longterm and shortterm personnel under thisgrant The PM shall have a keen understanding of the unique politicaldynamics and will work carefully and collaboratively to support thevarious political entities The PM should embrace the shared USGovernment vision for the project and effectively manage availablefinancial and Human Resources to make that vision a reality The PM ischarged with leading a professional team in the accomplishment of theobjectives of the project proposal She must have a broad vision linkedwith a clear understanding of how to get things done amid the constraintsof the country contextShe will have direct supervision over project key personnel the DeputyProject Director the Finance Director etc The Project Director isresponsible for all technical and administrative aspects of the projectincluding financial management
Sales Manager,Redinet CJSC is seeking qualified Sales Manager to beresponsible for presentation and sales of telecommunication relatedproducts and services
Sales Manager,Muran LLC is looking for a candidate to fulfill theposition of Sales Manager to sell vehicles and sign contracts with thecustomers
Project Manager,SAS Group is seeking a Project Manager to beresponsible for planning execution and finalization of projectsaccording to strict deadlines and within budget The role will be aswell responsible for defining the projects objectives and providingdaytoday coordination to ensure quality control throughout theprojects life cycle
Project Manager,The role of the Project Manager is to plan executeand finalize projects according to strict deadlines and within budgetThis includes acquiring resources and coordinating the efforts of teammembers and thirdparty contractors or consultants in order to deliverprojects according to plan The Project Manager will also define theprojects objectives and oversee quality control throughout its lifecycle
Project Manager,Internews Media Support NGO seeks qualified candidatesfor the USAIDfunded Alternative Resources in Media Development ARMediaproject Under the overall supervision of the Project Internews ManagingDirector the incumbent will plan execute and finalize projects accordingto strict deadlines and within budget She will be responsible for thedaytoday management and coordination of the project componentsincluding acquisition of resources and coordination of efforts ofpartners team members thirdparty contractors or consultants in orderto deliver projects according to plan
Project Manager,The role of the Project Manager is to plan execute andfinalize projects according to strict deadlines and within budget Thisincludes acquiring resources and coordinating the efforts of team membersand thirdparty contractors or consultants in order to deliver projectsaccording to plan The Project Manager will also define the projectsobjectives and oversee quality control throughout its life cycle
Sales Manager,Redinet CJSC is seeking a qualified Sales Manager to beresponsible for presentation and sales of Telecommunication relatedproducts and services
Sales Manager,This role requires introducing products and services todifferent companies The incumbent will also be responsible for workingout strategies to increase sales
Sales Manager,ZX Garage LLC is seeking a qualified Sales Managerresponsible for sales of tires rims oils filters and spare parts
Sales Manager,Catherine Group Ltd is inviting highly qualifiedprofessionals to fulfill the position of a Sales Manager The incumbentwill be responsible for the promotion of baby food products
Sales Manager,The incumbent will be responsible for implementing thecurrent sales stock activities
Java Developer,TX Systems is seeking an experienced Java Developer fordevelopment of Web based applications
Sales Manager,Galoper LLC is looking for a candidate to fulfill theposition of Sales Manager to sell vehicles and sign contracts with thecustomers
Sales Manager,Natfood CJSC is looking for a highly motivated andexperienced professional to work as a Sales Manager The incumbent shouldimplement and manage the companys sales strategy to ensure efforts tomeet ambitious goals and objectives
Sales Manager,The Sales Manager will lead the sales team with dozenaccounts that include retailers restaurants hotels and other food andbeverage outlets across Armenia
Sales Manager,Magic Sale LLC is seeking motivated and commerciallyoriented Sales Manager to attract new clients and organize current workwith the existing ones
Sales Manager,Catherine Group Co Ltd is looking for a candidateto fulfill the position of a Sales Manager to sell vehicles and signcontracts with the customers
Project Manager,Virtual Solution Global Services LLC is seeking for aSoftware Project Manager
Java Developer,IUnetworks is looking for a motivated Java Developerfor Web based enterprise level applications development
Sales Manager,Biska Group LLC is looking for energetic andexperienced individuals for the position of Sales Manager Heshe willwork under the supervision of the Founding Director
Sales Manager,The incumbent will be responsible for sales ofcompanys products  tiles of natural stones
Sales Manager,The incumbent will be responsible for the sales ofcompanys products  food products
Project Manager,The Project Manager will create and execute projectwork plans and revise as appropriate to meet changing needs andrequirements She will have overall responsibility for the management ofall project activities and staff She will have principal responsibilityfor representation of the project to partner institutions
Sales Manager,Redinet CJSC is seeking a qualified Sales Manager to beresponsible for presentation and sales of telecommunication relatedproducts and services
Project Manager,The National Competitiveness Foundation of Armenia isseeking to hire a Project Manager to lead the implementation of theFoundations Southern Corridor Tourism Framework project The ProjectManager will lead and oversee project implementation and will interfacewith the RA government private sector representatives donororganizations and institutional partners of the CompetitivenessFoundation The incumbent will report to the Tourism Program Director
Java Developer,AtTask has an opening for J2EE programmers withextensive UI experience in Web 20 development to assist in thedevelopment of its awardwinning project management application atYerevan office
Sales Manager,The incumbent will be responsible for sales ofcompanys products  tiles of natural stones
Sales Manager,Tempo Libero Ltd is seeking a qualified Sales Managerto be responsible for presentation and sales of entertainment fieldrelated products and services
Java Developer,The State Migration Service SMS of the Ministry ofTerritorial Administration of the Republic of Armenia is looking for aResearch Officer who will perform duties under the direct supervision ofthe Head of the Asylum Unit at the State Migration Service
Project Manager,Les Laboratoires Servier is looking for anenthusiastic selfmotivated personality who will combine excellentinterpersonal and organizational skills and have the ability to adapt toan international environment
Project Manager,The Armenian Branch of the Armenian MissionaryAssociation of America AMAA is searching for an Assistant Accountant
Sales Manager,Virtual Solution Global Services LLC is seeking amotivated Senior Java Developer for Web based applications development
Java Developer,Assistant Lawyer will be responsible for assistance tothe Chief lawyer for provision of legal services and human rightsprotection of most at risk population injection drug users sex workersmen having sex with men and people living with HIV
Project Manager,SAS Group is seeking a Graphic Designer to designmaterials including newsletters invitations advertisements flyersvouchers direct mail postcards and coupons
Sales Manager,Natali Pharm Ltd is seeking candidates for theposition of Medical Representative The incumbent is supposed to handlethe overall promotion works among doctors and pharmacists thoroughlyrepresenting company products
Project Manager,Internews Media Support NGO invites applications fromhighly qualified energetic and experienced Armenian professionals forthe position of Media Museum Manager for the Mobile Media Exhibition thatwill be organized within the framework of the Alternative Resources inMedia ARM Program Under the guidance of the Internews ARM ProjectDirector the incumbent will be directly working on organizing a portableexhibit focused on the media related evolution in Armenia
Project Manager,The incumbent will be responsible for organizingbookkeeping and accounting of economic and financial activities andcontrol of costeffective use of material labor and financial resourcessafe keeping of the companys property He she will also be responsiblefor taking part in resolving problem situations should it be beyond hisher competence to submit a number of resolution to the management
Sales Manager,The incumbent will research and develop softwaresystems according to clients requirements and continue debuggingenhancing and maintaining developed systems Primary responsibilitiesinclude data analyzing skills in combination with developing anddebugging database driven web based enterprise level software using Cprogramming language and SQL
Project Manager,Under the direct supervision of Deputy DirectorProject Manager the incumbent will be responsible for assisting theProject Coordinator and the Project Manager in the implementation ofAnimal Health Management in CrossBorder Areas of Armenia and GeorgiaProject
Java Developer,The incumbent will build trustful relations withcustomers by providing them assistance and support meet or exceedassigned sales targets by appropriately representing companys services
